VARIABLE_NAME,Comments,Theoretical Effect,Model1,Model2,Model3,Model4
TEAM_BATTING_H,Given,Positive,Y,,,Y
TEAM_BATTING_2B,Given,Positive,Y,,,Y
TEAM_BATTING_3B,Given,Positive,Y,,,Y
TEAM_BATTING_HR,Given,Positive,Y,,,Y
TEAM_BATTING_BB,Given,Positive,Y,,,Y
TEAM_BATTING_HBP,Given,Positive,Y,,,
TEAM_BATTING_SO,Given,Negative,Y,,,Y
TEAM_BASERUN_SB,Given,Positive,Y,,,Y
TEAM_BASERUN_CS,Given,Negative,Y,,,
TEAM_FIELDING_E,Given,Negative,Y,,,Y
TEAM_FIELDING_DP,Given,Positive,Y,,,Y
TEAM_PITCHING_BB,Given,Negative,Y,,,Y
TEAM_PITCHING_H,Given,Negative,Y,,,Y
TEAM_PITCHING_HR,Given,Negative,Y,,,Y
TEAM_PITCHING_SO,Given,Positive,Y,,,Y
TEAM_BATTING_H_NEW,Derived,Positive,,Y,,Y
TEAM_BATTING_2B_NEW,Derived,Positive,,Y,,Y
TEAM_BATTING_3B_NEW,Derived,Positive,,Y,,Y
TEAM_BATTING_BB_NEW,Derived,Positive,,Y,,Y
TEAM_BASERUN_SB_NEW,Derived,Positive,,Y,,Y
TEAM_FIELDING_E_NEW,Derived,Negative,,Y,,Y
TEAM_FIELDING_DP_NEW,Derived,Positive,,Y,,Y
TEAM_PITCHING_BB_NEW,Derived,Negative,,Y,,Y
TEAM_PITCHING_H_NEW,Derived,Negative,,Y,,Y
TEAM_PITCHING_HR_NEW,Derived,Negative,,Y,,Y
TEAM_PITCHING_SO_NEW,Derived,Positive,,Y,,Y
TEAM_BATTING_H_SIN,Derived,Positive,,,Y,Y
TEAM_BATTING_2B_SIN,Derived,Positive,,,Y,Y
TEAM_BATTING_3B_SIN,Derived,Positive,,,Y,Y
TEAM_BATTING_BB_SIN,Derived,Positive,,,Y,Y
TEAM_BASERUN_SB_SIN,Derived,Positive,,,Y,Y
TEAM_FIELDING_E_SIN,Derived,Negative,,,Y,Y
TEAM_FIELDING_DP_SIN,Derived,Positive,,,Y,Y
TEAM_PITCHING_BB_SIN,Derived,Negative,,,Y,Y
TEAM_PITCHING_H_SIN,Derived,Negative,,,Y,Y
TEAM_PITCHING_HR_SIN,Derived,Negative,,,Y,Y
TEAM_PITCHING_SO_SIN,Derived,Positive,,,Y,Y
TEAM_BATTING_HBP_Missing,Derived,,,,Y,Y
TEAM_BASERUN_CS_Missing,Derived,,,,Y,Y
Hits_R,Derived,,,,Y,Y
Walks_R,Derived,,,,Y,Y
HomeRuns_R,Derived,,,,Y,Y
Strikeout_R,Derived,,,,Y,Y
TEAM_BATTING_EB,Derived,,,,Y,Y
TEAM_BATTING_1B,Derived,,,,Y,Y
