VARIABLE_NAME,Model1,Model2
AGE,Y,
AGE_sin,,Y
BLUEBOOK,Y,
BLUEBOOK_sin,,Y
CAR_AGE,Y,
CAR_AGE_AMT_BIN,,Y
CAR_TYPE_AMT_BIN,,
CAR_TYPE_Minivan,,
CAR_TYPE_Panel.Truck,,
CAR_TYPE_Pickup,,
CAR_TYPE_Sports.Car,,
CAR_TYPE_SUV,,
CAR_TYPE_Van,,
CAR_USE_Commercial,,
CLM_FREQ,,
CLM_FREQ_AMT_BIN,,
EDUCATION_AMT_BIN,,
EDUCATION_Bachelors,,
EDUCATION_High.School,,
EDUCATION_Masters,,
EDUCATION_PhD,,
HOME_VAL,,
HOME_VAL_AMT_0_10K_BIN,,
HOME_VAL_AMT_60K_400K_BIN,,
HOMEKIDS,,
INCOME,,
INCOME_AMT_BIN,,
JOB_Blue.Collar,,
JOB_Clerical,,
JOB_Doctor,,
JOB_Home.Maker,,
JOB_Lawyer,,
JOB_Manager,,
JOB_Professional,,
JOB_Student,,
JOB_TYPE_AMT_BIN,,
JOB_Unknown,,
KIDSDRIV,,
MSTATUS_Yes,,
MVR_PTS,,
MVR_PTS_AMT_BIN,,
OLDCLAIM,,
OLDCLAIM_AMT_0_2K_BIN,,
OLDCLAIM_AMT_2K_10K_BIN,,
PARENT1_Yes,,
RED_CAR_yes,,
REVOKED_Yes,,
SEX_M,,
TARGET_AMT,,
TIF,,
TIF_sin,,
TRAVTIME,,
TRAVTIME_AMT_BIN,,
URBANICITY_Rural,,
YOJ,,
YOJ_AMT_BIN,,
