"","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","HOME_VAL","TRAVTIME","BLUEBOOK","TIF","OLDCLAIM","CLM_FREQ","MVR_PTS","CAR_AGE","PARENT1_Yes","MSTATUS_Yes","SEX_M","EDUCATION_Bachelors","EDUCATION_High.School","EDUCATION_Masters","EDUCATION_PhD","JOB_Blue.Collar","JOB_Clerical","JOB_Doctor","JOB_Home.Maker","JOB_Lawyer","JOB_Manager","JOB_Professional","JOB_Student","JOB_Unknown","CAR_USE_Commercial","CAR_TYPE_Minivan","CAR_TYPE_Panel.Truck","CAR_TYPE_Pickup","CAR_TYPE_Sports.Car","CAR_TYPE_SUV","CAR_TYPE_Van","RED_CAR_yes","REVOKED_Yes","URBANICITY_Rural","AGE_sin","TIF_sin","BLUEBOOK_sin","CAR_TYPE_AMT_BIN","EDUCATION_AMT_BIN","JOB_TYPE_AMT_BIN","INCOME_AMT_BIN","YOJ_AMT_BIN","HOME_VAL_AMT_0_10K_BIN","HOME_VAL_AMT_60K_400K_BIN","OLDCLAIM_AMT_0_2K_BIN","OLDCLAIM_AMT_2K_10K_BIN","CLM_FREQ_AMT_BIN","MVR_PTS_AMT_BIN","CAR_AGE_AMT_BIN","TRAVTIME_AMT_BIN"
"6",2946,0,34,1,12,125301,0,46,17430,1,0,0,0,7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.529082686120024,0.841470984807897,0.429517021559009,0,0,1,0,1,1,0,1,0,1,1,0,0
"8",4021,1,37,2,10.4982474360639,107961,333680,44,16970,1,2374,1,10,7,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,-0.643538133356999,0.841470984807897,-0.77297350387089,1,0,1,1,1,0,1,0,1,1,0,0,0
"9",2501,0,34,0,10,62978,0,34,11200,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.529082686120024,0.841470984807897,-0.220366267018746,0,0,0,1,1,1,0,1,0,1,1,1,0
"11",6077,0,53,0,14,77100,0,15,18300,1,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.395925150181834,0.841470984807897,-0.220954293347872,0,0,1,1,1,1,0,1,0,1,1,0,1
"14",1267,0,53,0,11,130795,0,64,28340,6,0,0,3,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0.395925150181834,-0.279415498198926,0.302512947131424,1,0,1,0,1,1,0,1,0,1,0,0,0
"15",2920.16732,0,45,0,0,0,106859,48,6000,1,0,0,3,5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.850903524534118,0.841470984807897,-0.427719512602322,0,1,0,1,0,0,1,1,0,1,0,0,0
"20",6857,0,28,1,13,44077,170598,29,8710,6,8935,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.270905788307869,-0.279415498198926,0.997846988208776,0,1,1,1,1,0,1,0,1,1,1,1,0
"21",3627,0,43,0,13,37214,161160,52,26560,1,0,0,3,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-0.831774742628598,0.841470984807897,0.828098175881141,1,1,1,1,1,0,1,1,0,1,0,1,0
"26",4486,0,32,1,9,31275,118160,26,10030,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.551426681241691,0.841470984807897,0.89361815229717,0,1,0,1,1,0,1,1,0,1,1,1,0
"50",6100,0,40,0,11,16989,0,20,12230,4,26104,1,13,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0.745113160479349,-0.756802495307928,0.218425213006186,0,1,1,1,1,1,0,0,0,1,0,0,1
"51",8840.6835683,0,44,2,15,16352,134164,37,10520,1,7838,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0177019251054136,0.841470984807897,0.92977341711572,0,1,0,1,1,0,1,0,1,1,1,1,0
"53",2117,1,45,1,14,63952,196368,50,32340,6,27877,2,0,13,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.850903524534118,-0.279415498198926,0.430660006156414,1,0,1,1,1,0,1,0,0,1,1,0,0
"55",3532,1,44,2,10.4982474360639,24060,0,24,14220,4,0,0,0,10,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0177019251054136,-0.756802495307928,0.913436641741827,0,0,0,1,1,1,0,1,0,1,1,0,0
"56",866,0,33,4,12,20822,76022,46,6880,13,7896,3,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.999911860107267,0.420167036826641,-0.0877981695912177,0,1,0,1,1,0,1,0,1,1,1,1,0
"58",7786,0,34,0,8,14194,87034,13,2920,4,24767,3,2,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.529082686120024,-0.756802495307928,-0.993915245439678,0,1,0,1,1,0,1,0,0,1,1,0,1
"60",4148,2,43,3,11,137103,0,29,19510,1,8890,3,0,15,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.831774742628598,0.841470984807897,0.651546462385709,0,0,0,0,1,1,0,0,1,1,1,0,0
"68",2371,1,45,2,11,102393,0,25,1500,1,0,0,2,11,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.850903524534118,0.841470984807897,-0.993901956906654,0,0,1,1,1,1,0,1,0,1,1,0,0
"70",4804,1,37,2,12,54046,205211,43,5200,1,2718,1,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.643538133356999,0.841470984807897,-0.61639657336978,0,0,1,1,1,0,1,0,1,1,1,0,0
"72",1354,0,48,0,12,31773,165090,14,9640,13,1212,1,4,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.768254661323667,0.420167036826641,0.999736833314605,0,1,0,1,1,0,1,1,0,1,0,1,1
