Model Type,Dispersion parameter,AIC,Vuong Selected
Linear model with transformed  data,1.867863,44321.76,
Linear model with original data,1.753383,43508.94,
Pois with transformed  data,0.9667917,46368,
Quasi-Poisson with transformed data,0.9667917,Undefined,
Negative  binomial /transformed  data,0.9667395,46370,
Quasi-Poisson with Original data,0.85152,Undefined,
Pois with original data,0.851513,46700,
Negative  binomial /original data,0.851477,46703,
zero inflation NB with transformed data,0.8386927,Undefined,zero inflation NB with transformed data
zero inflation Poisson with transformed data,0.8386535,Undefined,zero inflation Poisson with transformed data
zero inflation NB with orig data,0.4637071,Undefined,zero inflation NB with orig data
zero inflation Poisson with orig data,0.4636815,Undefined,zero inflation Poisson with orig data
